statistic,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1965-01-01,42103.4,45954.72,40374.34,21133.66,6370.2,44160.70142845403,58241.94783867078,75046.94441905776,82039.175299741,101182.86212413965
1965-02-01,41983.42,45918.8,40425.42,21156.58,6386.64,44296.615547267815,58461.241206007064,75517.55663909133,82621.0842421631,102061.92980809971
1965-03-01,41888.86,45862.8,40419.64,21367.34,6272.36,44416.647662697884,58704.820056945646,75878.28527205224,83408.21493643202,102726.92746737906
1965-04-01,41837.54,45903.66,40524.44,21568.02,6697.52,44603.722988754555,59127.458090374384,76520.80644602087,84229.32539653094,104026.10522133374
1965-05-01,41799.88,45938.82,40648.74,21603.86,6616.18,44710.14213646449,59422.40321103735,76940.54893593933,84773.7708896894,104689.03168552404
1965-06-01,41699.2,45878.56,40811.14,21724.64,6750.26,44823.29437892301,59723.3813657736,77634.2472232376,85741.68850628364,105750.093835209
1965-07-01,41645.14,45955.1,40804.32,21981.88,6996.3,45036.70563314021,60135.87452178608,78020.84989922598,86421.43103010634,106825.28523204684
1965-08-01,41513.42,45915.44,40850.02,21805.0,6911.14,45131.49633993122,60344.17605571614,78509.58787008248,86835.87520708011,107598.68644388458
1965-09-01,41453.72,45968.14,40925.84,21977.28,7123.02,45268.9055105608,60760.158657143285,79115.84188568054,87688.86391681695,108696.53817319263
1965-10-01,41395.56,45926.58,40945.24,22113.98,7279.04,45432.735912964155,61089.23257243774,79519.76772375019,88347.90663897694,109715.36028676892
1965-11-01,41209.58,45825.1,40947.82,22083.88,7514.46,45508.73830200533,61217.61815208335,79948.35353939951,89041.91693726531,110840.64500217582
1965-12-01,41119.06,45811.98,40933.88,22066.16,7590.92,45686.91054826651,61568.54002852829,80528.40243035564,89733.87410477399,111785.30881950013
1966-01-01,40994.96,45746.12,40998.64,22179.28,7553.62,45777.281772155795,61829.038061891086,81039.89630127136,90318.41275698112,112635.79289215525
1966-02-01,40912.9,45723.94,41063.44,22424.22,7749.72,45944.675694396465,62136.67405706455,81382.75327098314,91260.84984963236,113598.73196044946
1966-03-01,40882.54,45808.48,41103.1,22435.68,7992.2,46132.047559246406,62427.42893830028,81901.4125973342,91776.36979724583,114659.9510891013
